Simplified protein IDs	Gene name	MitoCoP disease association	Functional MitoCoP classification	MitoCoP	MitoCoP identified/ validated	MitoCoP identified	MitoCoP validated	MitoCoP disease gene	References	UniProt: involvement in disease	DisGeNET disease ID (curated associations)	OMIM	Phenotype MIM number	Half-live (HeLa) [h]	Half-life (Hu7) h	tomm40 Importomics	Mean Log2 Ratio tomm40KD/mock	p-Value	Mean mito-copies per cell (≥2/3 Reps)	Mean copy numbers per cell (≥2/3 Reps)	Category	Integral [%]	Membrane-associated [%]
Q8TAM2	TTC8	"Central nervous system;Ophthalmic system;Congenital anomalies and dysmorphisms, intrauterine abnormalities;Pulmonary system ;Ears;Hematologic system;Kidney and urinary tract;Endocrine system;Reproductive system"	Other known processes	1	1	1		1		"DISEASE: Bardet-Biedl syndrome 8 (BBS8) [MIM:615985]: A syndrome characterized by usually severe pigmentary retinopathy, early-onset obesity, polydactyly, hypogenitalism, renal malformation and mental retardation. Secondary features include diabetes mellitus, hypertension and congenital heart disease. Bardet-Biedl syndrome inheritance is autosomal recessive, but three mutated alleles (two at one locus, and a third at a second locus) may be required for clinical manifestation of some forms of the disease. {ECO:0000269|PubMed:14520415, ECO:0000269|PubMed:16308660}. Note=The disease is caused by mutations affecting the gene represented in this entry.;DISEASE: Retinitis pigmentosa 51 (RP51) [MIM:613464]: A retinal dystrophy belonging to the group of pigmentary retinopathies. Retinitis pigmentosa is characterized by retinal pigment deposits visible on fundus examination and primary loss of rod photoreceptor cells followed by secondary loss of cone photoreceptors. Patients typically have night vision blindness and loss of midperipheral visual field. As their condition progresses, they lose their far peripheral visual field and eventually central vision as well. {ECO:0000269|PubMed:14520415, ECO:0000269|PubMed:15489334, ECO:0000269|PubMed:17974005, ECO:0000269|PubMed:20451172, ECO:0000269|Ref.2, ECO:0000269|Ref.3, ECO:0000269|Ref.7}. Note=The disease is caused by mutations affecting the gene represented in this entry."	C0035334;C0152427;C0752166;C1691228;C1859566;C3150715;C3714756;C4277690	608132	613464-615985	NaN	NaN	Class 4	-1.647878671	0.137659378	402.4330109	3013.555	0	NaN	NaN
Q5JTZ9	AARS2	Central nervous system;Metabolism;Failure to thrive;Cardiovascular system;Muscular system	tRNA related processes	1				1	"Gotz, A., Tyynismaa, H., Euro, L., Ellonen, P., Hyotylainen, T., Ojala, T., Hamalainen, R. H., Tommiska, J., Raivio, T., Oresic, M., Karikoski, R., Tammela, O., Simola, K. O., Paetau, A., Tyni, T., and Suomalainen, A. (2011) Exome sequencing identifies mitochondrial alanyl-tRNA synthetase mutations in infantile mitochondrial cardiomyopathy. Am. J. Hum. Genet. 88, 635-642"	"DISEASE: Combined oxidative phosphorylation deficiency 8 (COXPD8) [MIM:614096]: A mitochondrial disease characterized by a lethal infantile hypertrophic cardiomyopathy, generalized muscle dysfunction and some neurologic involvement. The liver is not affected. {ECO:0000269|PubMed:21549344}. Note=The disease is caused by mutations affecting the gene represented in this entry.;DISEASE: Leukoencephalopathy, progressive, with ovarian failure (LKENP) [MIM:615889]: An autosomal recessive neurodegenerative disorder characterized by childhood- to adulthood-onset of signs of neurologic deterioration consisting of ataxia, spasticity, and cognitive decline with features of frontal lobe dysfunction. Brain MRI shows leukoencephalopathy with striking involvement of deep white matter, and cerebellar atrophy. All female patients develop premature ovarian failure. {ECO:0000269|PubMed:24808023}. Note=The disease is caused by mutations affecting the gene represented in this entry."	C0023520;C0543888;C0751651;C1847967;C3279793;C3711381;C4014588	612035	614096-615889	104.9213847	105.763074	Class 1	-2.041302957	0.000119006	233781.1115	180952	Peripheral	36.45669895	85.7896804
Q9UDR5	AASS	Central nervous system;Metabolism;Ophthalmic system;Failure to thrive	Amino acid metabolism	1				1		"DISEASE: 2,4-dienoyl-CoA reductase deficiency (DECRD) [MIM:616034]: A rare, autosomal recessive, inborn error of polyunsaturated fatty acids and lysine metabolism, resulting in mitochondrial dysfunction. Affected individuals have a severe encephalopathy with neurologic and metabolic abnormalities beginning in early infancy. Laboratory studies show increased C10:2 carnitine levels and hyperlysinemia. {ECO:0000269|PubMed:24847004}. Note=The protein represented in this entry is involved in disease pathogenesis. A selective decrease in mitochondrial NADP(H) levels due to NADK2 mutations causes a deficiency of NADPH-dependent mitochondrial enzymes, such as DECR1 and AASS. {ECO:0000269|PubMed:24847004}.;DISEASE: Hyperlysinemia, 1 (HYPLYS1) [MIM:238700]: An autosomal recessive metabolic condition with variable clinical features. Some patients present with non-specific seizures, hypotonia, or mildly delayed psychomotor development, and increased serum lysine and pipecolic acid on laboratory analysis. However, about half of the probands are reported to be asymptomatic, and hyperlysinemia is generally considered to be a benign metabolic variant. {ECO:0000269|PubMed:10775527}. Note=The disease is caused by mutations affecting the gene represented in this entry. In hyperlysinemia 1, both enzymatic functions of AASS are defective and patients have increased serum lysine and possibly increased saccharopine. Some individuals, however, retain significant amounts of lysine-ketoglutarate reductase and present with saccharopinuria, a metabolic condition with few, if any, clinical manifestations. {ECO:0000305|PubMed:463877}."	C0268553;C0268555;C0268556;C0936256;C1527317;C2936921;C3714756	605113	238700	NaN	NaN	Class 1	-1.051172798	0.000487896	291360.0074	273067	Ambiguous	32.09083465	41.53702128
P80404	ABAT	Central nervous system;Metabolism	Other known processes	1				1	"Besse, A., Wu, P., Bruni, F., Donti, T., Graham, B. H., Craigen, W. J., McFarland, R., Moretti, P., Lalani, S., Scott, K. L., Taylor, R. W., and Bonnen, P. E. (2015) The GABA transaminase, ABAT, is essential for mitochondrial nucleoside metabolism. Cell Metab 21, 417-427"	"DISEASE: GABA transaminase deficiency (GABATD) [MIM:613163]: An enzymatic deficiency resulting in psychomotor retardation, hypotonia, hyperreflexia, lethargy, refractory seizures, and EEG abnormalities. {ECO:0000269|PubMed:10407778}. Note=The disease is caused by mutations affecting the gene represented in this entry."	C0004352;C0017168;C0022333;C0023380;C0023893;C0026825;C0026827;C0033922;C0034933;C0036572;C0149958;C0151572;C0151888;C0151889;C0234146;C0234533;C0234535;C0234784;C0241772;C0270824;C0270844;C0270846;C0277839;C0277850;C0278211;C0342708;C0422850;C0422852;C0422853;C0422854;C0422855;C0427201;C0427202;C0494475;C0522345;C0543888;C0558845;C0558846;C0558847;C0576612;C0679465;C0743002;C0751056;C0751110;C0751123;C0751330;C0751456;C0751468;C0751469;C0751470;C0751471;C0751472;C0751473;C0751474;C0751475;C0751476;C0751477;C0751478;C0751479;C0751480;C0751481;C0751494;C0751495;C0751496;C0751651;C2267233;C3495874;C3714756;C4048158;C4316903;C4317109;C4317123;C4505436	137150	613163	NaN	NaN	NaN	NaN	NaN	18611.14993	13444.33333	Soluble	13.05247967	19.28114109
Q9NP58	ABCB6	Ophthalmic system;Hematologic system;Integumentary system	"Carriers, channels & transporters"	1				1		"DISEASE: Dyschromatosis universalis hereditaria 3 (DUH3) [MIM:615402]: An autosomal dominant pigmentary genodermatosis characterized by a mixture of hyperpigmented and hypopigmented macules distributed randomly over the body, that appear in infancy or early childhood. The trunk and extremities are the dominant sites of abnormal pigmentation. Facial lesions can be seen in 50% of affected individuals, but involvement of palms and soles is unusual. Abnormalities of hair and nails have also been reported. Dyschromatosis universalis hereditaria may be associated with abnormalities of dermal connective tissue, nerve tissue, or other systemic complications. {ECO:0000269|PubMed:23519333, ECO:0000269|PubMed:24224009, ECO:0000269|PubMed:24498303, ECO:0000269|PubMed:25288164}. Note=The disease is caused by mutations affecting the gene represented in this entry.;DISEASE: Microphthalmia, isolated, with coloboma, 7 (MCOPCB7) [MIM:614497]: A disorder of eye formation, ranging from small size of a single eye to complete bilateral absence of ocular tissues. Ocular abnormalities like opacities of the cornea and lens, scaring of the retina and choroid, and other abnormalities may also be present. Ocular colobomas are a set of malformations resulting from abnormal morphogenesis of the optic cup and stalk, and the fusion of the fetal fissure (optic fissure). {ECO:0000269|PubMed:22226084}. Note=The disease is caused by mutations affecting the gene represented in this entry.;DISEASE: Pseudohyperkalemia, familial, 2, due to red cell leak (PSHK2) [MIM:609153]: A dominantly inherited condition characterized by increased serum potassium levels, measured in whole-blood specimens stored at or below room temperature. This condition is not accompanied by clinical symptoms or biological signs except for borderline abnormalities of red cell shape. {ECO:0000269|PubMed:23180570, ECO:0000269|PubMed:24947683}. Note=The disease is caused by mutations affecting the gene represented in this entry."	C0006142;C0009363;C0009402;C0009404;C0032460;C0155299;C0266551;C0344516;C0521573;C1136382;C1306229;C1527249;C1836705;C1852767;C1861453;C2931501;C3281027;C3809394	605452	615402-614497-111600	94.62825944	294.731146	Class 4	-0.658542282	0.052862017	2184.599143	23679.36667	0	44.89827757	NaN
O75027	ABCB7	Central nervous system;Failure to thrive;Hematologic system	Fe-S protein biogenesis	1				1	"Allikmets, R., Raskind, W. H., Hutchinson, A., Schueck, N. D., Dean, M., and Koeller, D. M. (1999) Mutation of a putative mitochondrial iron transporter gene (ABC7) in X-linked sideroblastic anemia and ataxia (XLSA/A). Hum Mol Genet 8, 743-749"	"DISEASE: Anemia, sideroblastic, spinocerebellar ataxia (ASAT) [MIM:301310]: A X-linked recessive disorder characterized by an infantile to early childhood onset of non-progressive cerebellar ataxia and mild anemia, with hypochromia and microcytosis. {ECO:0000269|PubMed:10196363, ECO:0000269|PubMed:11050011, ECO:0000269|PubMed:11843825, ECO:0000269|PubMed:22398176}. Note=The disease is caused by mutations affecting the gene represented in this entry."	C0002896;C0004134;C0004138;C0010828;C0158995;C0240991;C0278161;C0427190;C0520966;C0750937;C0750940;C0751651;C1845028;C3714756	300135	301310	97.81842396	NaN	Class 3	-0.566148098	0.002571775	162317.6144	139268.3333	Integral	95.63506696	96.72930014
Q9UKU7	ACAD8	Central nervous system;Metabolism;Failure to thrive;Cardiovascular system;Pulmonary system ;Muscular system	Amino acid metabolism	1				1		"DISEASE: Isobutyryl-CoA dehydrogenase deficiency (IBDD) [MIM:611283]: The symptoms of IBDD generally appear until late in infancy or in childhood and can include poor feeding and growth (failure to thrive), a weakened and enlarged heart (dilated cardiomyopathy), seizures, and low numbers of red blood cells (anemia). {ECO:0000269|PubMed:12359132, ECO:0000269|PubMed:15505379, ECO:0000269|PubMed:16857760}. Note=The disease is caused by mutations affecting the gene represented in this entry."	C0024623;C0038356;C0235874;C1708349;C1969809	604773	611283	209.8944117	63.8261583	Class 1	-2.110310707	8.672E-05	38062.33413	21000.76667	Peripheral	10.39876268	57.78864077
Q9H845	ACAD9	Central nervous system;Metabolism;Cardiovascular system;Pulmonary system ;Muscular system;Liver	OXPHOS assembly & stability	1				1	"Nouws, J., Nijtmans, L., Houten, S. M., van den Brand, M., Huynen, M., Venselaar, H., Hoefs, S., Gloerich, J., Kronick, J., Hutchin, T., Willems, P., Rodenburg, R., Wanders, R., van den Heuvel, L., Smeitink, J., and Vogel, R. O. (2010) Acyl-CoA dehydrogenase 9 is required for the biogenesis of oxidative phosphorylation complex I. Cell Metab 12, 283-294"	"DISEASE: Acyl-CoA dehydrogenase family, member 9, deficiency (ACAD9 deficiency) [MIM:611126]: An autosomal recessive metabolic disorder associated with mitochondrial complex I deficiency, resulting in multisystemic and variable manifestations. Clinical features include infantile onset of acute metabolic acidosis, Reye-like episodes (brain edema and vomiting that may rapidly progress to seizures, coma and death), exercise intolerance, hypertrophic cardiomyopathy, liver failure, muscle weakness, and neurologic dysfunction. {ECO:0000269|PubMed:17564966, ECO:0000269|PubMed:20816094, ECO:0000269|PubMed:20929961, ECO:0000269|PubMed:21057504, ECO:0000269|PubMed:22499348, ECO:0000269|PubMed:23836383, ECO:0000269|PubMed:23996478, ECO:0000269|PubMed:26741492}. Note=The disease is caused by mutations affecting the gene represented in this entry."	C0035410;C0220994;C0751651;C1970173;C3714756	611103	611126	190.3921181	NaN	Class 1	-1.635168189	5.77762E-05	328608.2319	309409.6667	Peripheral	41.98119319	93.37465664
P11310	ACADM	Central nervous system;Metabolism;Liver;Gastrointestinal system	Fatty acid _-oxidation 	1				1		"DISEASE: Acyl-CoA dehydrogenase medium-chain deficiency (ACADMD) [MIM:201450]: An inborn error of mitochondrial fatty acid beta-oxidation which causes fasting hypoglycemia, hepatic dysfunction and encephalopathy, often resulting in death in infancy. {ECO:0000269|PubMed:10767181, ECO:0000269|PubMed:11349232, ECO:0000269|PubMed:11409868, ECO:0000269|PubMed:11486912, ECO:0000269|PubMed:1363805, ECO:0000269|PubMed:1671131, ECO:0000269|PubMed:1684086, ECO:0000269|PubMed:1902818, ECO:0000269|PubMed:2251268, ECO:0000269|PubMed:2393404, ECO:0000269|PubMed:2394825, ECO:0000269|PubMed:7603790, ECO:0000269|PubMed:7929823, ECO:0000269|PubMed:8198141, ECO:0000269|PubMed:9158144, ECO:0000269|PubMed:9882619}. Note=The disease is caused by mutations affecting the gene represented in this entry."	C0003886;C0006142;C0028754;C0035410;C0043094;C0085605;C0220710;C0220994;C0520459;C3714756	607008	201450	113.2263861	NaN	Class 1	-0.981571373	0.000715373	758394.4618	671457	Soluble	5.635873256	24.03375551
P16219	ACADS	"Central nervous system;Metabolism;Ophthalmic system;Congenital anomalies and dysmorphisms, intrauterine abnormalities;Failure to thrive;Cardiovascular system;Pulmonary system ;Muscular system;Liver"	Fatty acid _-oxidation 	1				1		"DISEASE: Acyl-CoA dehydrogenase short-chain deficiency (ACADSD) [MIM:201470]: An inborn error of mitochondrial fatty acid beta-oxidation resulting in acute acidosis and muscle weakness in infants, and a form of lipid-storage myopathy in adults. {ECO:0000269|PubMed:11134486, ECO:0000269|PubMed:1692038, ECO:0000269|PubMed:9499414}. Note=The disease is caused by mutations affecting the gene represented in this entry."	C0003886;C0005586;C0220994;C0342783;C3714756	606885	201470	161.3028986	NaN	Class 4	-0.6388396	0.014921057	93014.9414	85546.8	Soluble	13.31808744	22.09036697
P45954	ACADSB	Central nervous system;Metabolism;Ophthalmic system;Failure to thrive;Pulmonary system ;Others	Lipid metabolism	1				1		"DISEASE: Short/branched-chain acyl-CoA dehydrogenase deficiency (SBCADD) [MIM:610006]: Autosomal recessive disorder and consists of a defect in catabolism of L-isoleucine which is characterized by an increase of 2-methylbutyrylglycine and 2-methylbutyrylcarnitine in blood and urine. Affected individuals have seizures and psychomotor delay as the main clinical features. {ECO:0000269|PubMed:10832746, ECO:0000269|PubMed:16317551}. Note=The disease is caused by mutations affecting the gene represented in this entry."	C0004352;C1864912;C3714756	600301	610006	130.5347827	167.0237769	Class 1	-1.246057129	0.000518817	433987.6966	388896.3333	Peripheral	6.536358014	83.42178625
J3QKU9;K7EQP4;P49748	ACADVL	Metabolism;Cardiovascular system;Muscular system	Lipid metabolism	1				1		"a milder childhood form with later onset, characterized by hypoketotic hypoglycemia, low mortality and rare cardiomyopathy;an adult form, with isolated skeletal muscle involvement, rhabdomyolysis and myoglobinuria, usually triggered by exercise or fasting. {ECO:0000269|PubMed:10077518, ECO:0000269|PubMed:8554073, ECO:0000269|PubMed:9546340}. Note=The disease is caused by mutations affecting the gene represented in this entry.;DISEASE: Acyl-CoA dehydrogenase very long-chain deficiency (ACADVLD) [MIM:201475]: An inborn error of mitochondrial fatty acid beta-oxidation which leads to impaired long-chain fatty acid beta-oxidation. It is clinically heterogeneous, with three major phenotypes: a severe childhood form characterized by early onset, high mortality and high incidence of cardiomyopathy"	C0003129;C0003130;C0003886;C0007194;C0035410;C0220994;C0242184;C0700292;C3714756;C3887523	609575	201475	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
E9PKF3;P24752	ACAT1	Central nervous system;Metabolism;Gastrointestinal system	Fatty acid _-oxidation 	1				1		"DISEASE: 3-ketothiolase deficiency (3KTD) [MIM:203750]: An autosomal recessive inborn error of isoleucine catabolism characterized by intermittent ketoacidotic attacks associated with unconsciousness. Some patients die during an attack or are mentally retarded. Urinary excretion of 2-methyl-3-hydroxybutyric acid, 2-methylacetoacetic acid, triglylglycine, butanone is increased. It seems likely that the severity of this disease correlates better with the environmental or acquired factors than with the ACAT1 genotype. {ECO:0000269|PubMed:1346617, ECO:0000269|PubMed:1715688, ECO:0000269|PubMed:7728148, ECO:0000269|PubMed:9744475}. Note=The disease is caused by mutations affecting the gene represented in this entry."	C0022333;C0022661;C0023893;C0036572;C0149958;C0234533;C0234535;C0270824;C0270844;C0270846;C0271713;C0422850;C0422852;C0422853;C0422854;C0422855;C0494475;C0751056;C0751110;C0751123;C0751494;C0751495;C0751496;C1536500;C3495874;C3714756;C4048158;C4316903;C4317109;C4317123;C4505436	607809	203750	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
