HumanGeneID	MouseOrthologGeneID	Symbol	Synonyms	Description	MitoCarta3.0_List	MitoCarta3.0_Evidence	MitoCarta3.0_SubMitoLocalization	MitoCarta3.0_MitoPathways	TrainingDataset	MitoCarta2.0_Score	MitoCarta2.0_FDR	MitoCarta2.0_List	MitoCarta2.0_Evidence	EnsemblGeneID_mapping_version_20200130	UniProt	ProteinLength	TargetP_Score	MitoDomain_Score	CoexpressionGnfN50_Score	PGC_Induction_Score	YeastMitoHomolog_Score	RickettsiaHomolog_Score	MSMS_Score	hg19_Chromosome	hg19_Start	hg19_Stop	MSMS_NUM_TISSUES	MSMS_NUM_PEPTIDES_UNIQUE	MSMS_NUM_SPECTRA	MSMS_TOTAL_INTENSITY	MSMS_PERCENT_COVERAGE	Tissues	cerebrum_total_peak_intensity_log10	cerebellum_total_peak_intensity_log10	brainstem_total_peak_intensity_log10	spinalcord_total_peak_intensity_log10	kidney_total_peak_intensity_log10	liver_total_peak_intensity_log10	heart_total_peak_intensity_log10	skeletalmuscle_total_peak_intensity_log10	adipose_total_peak_intensity_log10	smallintestine_total_peak_intensity_log10	largeintestine_total_peak_intensity_log10	stomach_total_peak_intensity_log10	placenta_total_peak_intensity_log10	testis_total_peak_intensity_log10	HPA_Main_Location_2020 (Reliability)
9377	12858	COX5A	COX|COX-VA|VA	cytochrome c oxidase subunit 5A	MitoCarta3.0	"literature, APEX_IMS, APEX_matrix, targetP signal+, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++"	MIM	OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits	Tmito	42.0	0	1	"literature, APEX_IMS, APEX_matrix, targetP signal+, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++"	ENSG00000178741	P20674	150	1	MitoDomain	49	1.91	OrthologMitoHighConf	NoHomolog	50-75pure	chr15	75212616	75230495	14	19	1523	4.27E+11	65	all 14	10.4	10.2	10.6	10.3	11	10.5	10.4	9.8	10.3	10.6	10.6	10.5	10.3	10.2	
122961	74316	ISCA2	HBLD1|ISA2|MMDS4|c14_5557	iron-sulfur cluster assembly 2	MitoCarta3.0	"APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression, MS/MS++"	Matrix	Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins	Tmito	42.0	0	1	"APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression, MS/MS++"	ENSG00000165898	Q86U28	154	1	MitoDomain	28	1.07	OrthologMitoHighConf	Ortholog	75-100pure	chr14	74960422	74962271	14	10	163	3.99E+09	79	all 14	8.4	8.4	8.7	8.3	8.8	8.2	7.9	7.2	8.7	8.5	8.4	8	8.5	8.5	
9512	73078	PMPCB	Beta-MPP|MPP11|MPPB|MPPP52|P-52	"peptidase, mitochondrial processing subunit beta"	MitoCarta3.0	"literature, APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++"	Matrix	"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | Protein import, sorting and homeostasis > Protein homeostasis > Proteases"	Tmito	41.6	0	1	"literature, APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++"	ENSG00000105819	O75439	489	1	MitoDomain	42	0.74	OrthologMitoLowConf	Homolog	50-75pure	chr7	102937872	102955133	14	22	275	2.37E+10	55	all 14	9	6.8	9.1	8.7	9.8	8.7	9.6	8	9	9.6	8.9	9.2	9.4	9	Mitochondria (Enhanced)
7386	66694	UQCRFS1	MC3DN10|RIP1|RIS1|RISP|UQCR5	"ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1"	MitoCarta3.0	"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, coexpression++, MS/MS++"	MIM	OXPHOS > Complex III > CIII subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits	Tmito	40.8	0	1	"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, coexpression++, MS/MS++"	ENSG00000169021	P47985	274	2	MitoDomain	48		OrthologMitoHighConf	Ortholog	75-100pure	chr19	29698166	29704136	14	28	3522	2.78E+11	77	all 14	10.5	10.4	10.7	10.2	10.5	10.3	10.5	9.7	10	10.2	10.1	10	10.1	10	Mitochondria (Approved)
498	11946	ATP5F1A	ATP5A|ATP5A1|ATP5AL2|ATPM|COXPD22|HEL-S-123m|MC5DN4|MOM2|OMR|ORM|hATP1	ATP synthase F1 subunit alpha	MitoCarta3.0	"literature, APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++"	MIM	OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits	Tmito	40.7	0	1	"literature, APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++"	ENSG00000152234	P25705	553	1	SharedDomain	48	1.53	OrthologMitoHighConf	Homolog	75-100pure	chr18	43664109	43684199	14	71	14666	2.25E+12	80	all 14	11.2	10.8	11.2	10.9	11.5	11	11.6	11.1	11.1	11.4	11	11.3	11.2	10.5	Mitochondria (Supported)
4967	18293	OGDH	AKGDH|E1k|KGD1|OGDC|OGDH2	oxoglutarate dehydrogenase	MitoCarta3.0	"literature, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++"	Matrix	Metabolism > Carbohydrate metabolism > TCA cycle	Tmito	40.6	0	1	"literature, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++"	ENSG00000105953	Q02218	1023	2	MitoDomain	46	3.07	OrthologMitoLowConf	Homolog	50-75pure	chr7	44646120	44748669	14	106	8271	7.16E+11	71	all 14	10.6	10.6	10.9	9.9	11.1	9.9	10.8	10.9	10.6	10.8	10.7	10.7	10.5	10.4	Mitochondria (Enhanced)
5162	68263	PDHB	PDHBD|PDHE1-B|PDHE1B|PHE1B	pyruvate dehydrogenase E1 subunit beta	MitoCarta3.0	"literature, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++"	Matrix	Metabolism > Carbohydrate metabolism > Pyruvate metabolism	Tmito	40.6	0	1	"literature, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++"	ENSG00000168291	P11177	359	2	MitoDomain	47	1.67	OrthologMitoLowConf	Homolog	50-75pure	chr3	58413356	58419579	14	22	1918	1.96E+11	74	all 14	10.2	9.9	10.3	10.2	10	9.6	10.5	9.8	10.4	9.8	9.9	9.9	10	10.5	Mitochondria (Supported)
7385	67003	UQCRC2	MC3DN5|QCR2|UQCR2	ubiquinol-cytochrome c reductase core protein 2	MitoCarta3.0	"literature, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++"	MIM	"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits"	Tmito	40.6	0	1	"literature, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++"	ENSG00000140740	P22695	453	2	MitoDomain	45	1.79	OrthologMitoLowConf	Homolog	50-75pure	chr16	21964608	21994668	14	36	4282	4.09E+11	61	all 14	10.5	10	10.3	10.3	10.6	10.3	10.9	10.4	10.3	10.7	10.5	10.5	10.2	10.2	Mitochondria (Enhanced)
6392	66925	SDHD	CBT1|CII-4|CWS3|PGL|PGL1|QPs3|SDH4|cybS	succinate dehydrogenase complex subunit D	MitoCarta3.0	"literature, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS+"	MIM	OXPHOS > Complex II > CII subunits | Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Metals and cofactors > Heme-containing proteins | OXPHOS > OXPHOS subunits	Tmito	40.1	0	1	"literature, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS+"	ENSG00000204370	O14521	159	3	MitoDomain	45	2.02	OrthologMitoHighConf	Ortholog	25-50pure	chr11	111957547	111966525	14	4	221	5.87E+09	28	all 14	8.8	8.3	8.5	7.8	8.9	8.6	8.4	8.3	8.4	8.9	8.6	8.5	8.7	8.9	
60488	232536	MRPS35	HDCMD11P|MDS023|MRP-S28|MRPS28	mitochondrial ribosomal protein S35	MitoCarta3.0	"literature, APEX_matrix, targetP signal, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++"	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome	Tmito	39.6	0	1	"literature, APEX_matrix, targetP signal, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++"	ENSG00000061794	P82673	323	2	MitoDomain	43	1.81	OrthologMitoHighConf	NoHomolog	50-75pure	chr12	27863705	27909237	14	22	144	3.27E+09	57	all 14	8.4	8	8.1	6.8	8.2	7.4	7.8	8	8.5	8.5	8.8	7.7	9	8.1	Mitochondria (Approved)
27089	22272	UQCRQ	MC3DN4|QCR8|QP-C|QPC|UQCR7	ubiquinol-cytochrome c reductase complex III subunit VII	MitoCarta3.0	"literature, APEX_IMS, targetP signal, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++"	MIM	OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits	Tmito	39.3	0	1	"literature, APEX_IMS, targetP signal, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++"	ENSG00000164405	O14949	82	2	MitoDomain	47	0.66	OrthologMitoHighConf	NoHomolog	75-100pure	chr5	132202318	132204536	14	16	1153	9.68E+10	93	all 14	9.9	9.6	9.9	9.6	10.2	9.8	9.8	9.2	9.8	10	10.1	9.8	9.6	9.5	Mitochondria (Enhanced)
116540	68499	MRPL53	L53MT	mitochondrial ribosomal protein L53	MitoCarta3.0	"literature, APEX_matrix, targetP signal, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++"	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome	Tmito	39.3	0	1	"literature, APEX_matrix, targetP signal, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++"	ENSG00000204822	Q96EL3	112	2	MitoDomain	47	0.6	OrthologMitoHighConf	NoHomolog	75-100pure	chr2	74699084	74699942	14	13	157	4.34E+09	92	all 14	8.4	8.2	8.4	8.1	8.6	8.6	7.7	7.1	8.3	8.6	8.9	8.2	8.9	8.4	Mitochondria (Supported)
1629	13171	DBT	BCATE2|BCKAD-E2|BCKADE2|BCKDH-E2|BCOADC-E2|E2|E2B	dihydrolipoamide branched chain transacylase E2	MitoCarta3.0	"literature, APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression+, MS/MS++"	Matrix	Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid dehydrogenase complex	Tmito	39.2	0	1	"literature, APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression+, MS/MS++"	ENSG00000137992	P11182	482	1	MitoDomain	34	2.32	OrthologMitoLowConf	Homolog	50-75pure	chr1	100652477	100715409	14	33	809	3.27E+10	67	all 14	8.5	7.7	8.4	8.4	9.9	9.6	9.2	8.6	9.8	9.2	9.1	9.9	9.2	8.9	Mitochondria (Supported)
5166	27273	PDK4	-	pyruvate dehydrogenase kinase 4	MitoCarta3.0	"literature, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression, MS/MS++"	MIM	Metabolism > Carbohydrate metabolism > Pyruvate metabolism	Tmito	38.7	0	1	"literature, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression, MS/MS++"	ENSG00000004799	Q16654	411	2	MitoDomain	18	1.77	OrthologMitoHighConf	Ortholog	50-75pure	chr7	95212808	95225925	13	21	76	2.81E+09	63	"cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, heart, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, testis"	7.2	5.2	7.6	7.2	7.2	7.3	7.7	9.3	8.4	8.1	7.6	7.4		7.9	
4191	17448	MDH2	EIEE51|M-MDH|MDH|MGC:3559|MOR1	malate dehydrogenase 2	MitoCarta3.0	"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++"	Matrix	Metabolism > Carbohydrate metabolism > Gluconeogenesis | Metabolism > Carbohydrate metabolism > Malate-aspartate shuttle | Metabolism > Carbohydrate metabolism > TCA cycle	Tmito	38.4	0	1	"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++"	ENSG00000146701	P40926	338	2	SharedDomain	50	1.54	OrthologMitoHighConf	Homolog	75-100pure	chr7	75677336	75696827	14	42	6117	1.44E+12	79	all 14	11.1	10.8	11.2	10.9	10.9	10.6	11.4	10.6	11	11.3	10.9	10.8	11	10.6	Mitochondria (Enhanced)
23107	218506	MRPS27	MRP-S27|S27mt	mitochondrial ribosomal protein S27	MitoCarta3.0	"literature, APEX_matrix, targetP signal+, yeast mito homolog++, mito protein domain+, induction, coexpression+, MS/MS++"	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome	Tmito	38.3	0	1	"literature, APEX_matrix, targetP signal+, yeast mito homolog++, mito protein domain+, induction, coexpression+, MS/MS++"	ENSG00000113048	Q92552	428	1	MitoDomain	32	1.87	OrthologMitoHighConf	NoHomolog	50-75pure	chr5	71515235	71616084	13	23	128	2.90E+09	54	"cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis"	7.9	7.3	7.4	8	8.3	7.8		7.7	8.4	8.8	8.7	8.3	8.8	8.3	Mitochondria;Nucleoplasm (Approved)
1431	12974	CS	-	citrate synthase	MitoCarta3.0	"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++"	Matrix	Metabolism > Carbohydrate metabolism > TCA cycle	Tmito	37.8	0	1	"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++"	ENSG00000062485	O75390	466	3	SharedDomain	48	2.32	OrthologMitoHighConf	Ortholog	50-75pure	chr12	56665482	56694175	14	33	3539	3.46E+11	59	all 14	10.4	10	10.3	10.2	10.1	10	10.8	10.4	10.4	10.7	10.2	10.5	10.4	10.2	Mitochondria (Enhanced)
80273	17713	GRPEL1	GrpE|HMGE|mt-GrpE#1	"GrpE like 1, mitochondrial"	MitoCarta3.0	"literature, APEX_matrix, targetP signal+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++"	Matrix	"Protein import, sorting and homeostasis > Protein import and sorting > Import motor | Metabolism > Metals and cofactors > Fe-S cluster biosynthesis"	Tmito	37.8	0	1	"literature, APEX_matrix, targetP signal+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++"	ENSG00000109519	Q9HAV7	217	1	MitoDomain	43	1.53	HomologMitoLowConf	Homolog	50-75pure	chr4	7061779	7069800	14	24	495	3.14E+10	74	all 14	9.4	9.2	9.3	9	9.6	9.6	9.2	8	9.3	9.3	9.2	9	9.8	9.1	Mitochondria (Supported)
1737	235339	DLAT	DLTA|E2|PBC|PDC-E2|PDCE2	dihydrolipoamide S-acetyltransferase	MitoCarta3.0	"literature, APEX_matrix, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++"	Matrix	Metabolism > Carbohydrate metabolism > Pyruvate metabolism	Tmito	37.8	0	1	"literature, APEX_matrix, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++"	ENSG00000150768	P10515	647	4	MitoDomain	41	2.68	OrthologMitoLowConf	Homolog	50-75pure	chr11	111895537	111935002	14	36	2960	3.70E+11	60	all 14	10.6	10.3	10.7	10.5	10.4	9.8	10.4	10.5	10.5	9.9	10.1	10.1	10.1	10.5	Mitochondria (Enhanced)
10128	72416	LRPPRC	CLONE-23970|GP130|LRP130|LSFC	leucine rich pentatricopeptide repeat containing	MitoCarta3.0	"literature, APEX_matrix, targetP signal+, yeast mito homolog++, mito protein domain, induction, coexpression++, MS/MS++"	Matrix	Mitochondrial central dogma > mtRNA metabolism > mtRNA stability and decay | Mitochondrial central dogma > Translation	Tmito	37.7	0	1	"literature, APEX_matrix, targetP signal+, yeast mito homolog++, mito protein domain, induction, coexpression++, MS/MS++"	ENSG00000138095	P42704	1394	1	SharedDomain	47	2.59	OrthologMitoHighConf	NoHomolog	75-100pure	chr2	44113362	44223144	14	145	5900	2.76E+11	90	all 14	10.2	10.4	10.4	9.4	10.8	9.8	9.6	10.3	9.9	10.2	10.5	10.2	10.2	10.5	Mitochondria (Enhanced)
1743	78920	DLST	DLTS|KGD2|PGL7	dihydrolipoamide S-succinyltransferase	MitoCarta3.0	"literature, APEX_IMS, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS+"	Matrix	Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Amino acid metabolism > Lysine metabolism	Tmito	37.7	0	1	"literature, APEX_IMS, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS+"	ENSG00000119689	P36957	453	2	MitoDomain	42	1.79	OrthologMitoLowConf	Homolog	25-50pure	chr14	75348593	75370450	14	27	1780	1.09E+11	46	all 14	9.7	9.3	9.7	9.7	10.2	9.6	10.1	9.7	9.9	10.3	9.6	9.9	9.9	9.3	
